timestamp,open,high,low,close,volume
2024-10-28 09:00:00,65000.00,65138.99,64740.55,64869.53,207.77
2024-10-28 09:01:00,64869.53,64903.59,64775.50,64897.18,214.92
2024-10-28 09:02:00,64897.18,65027.39,64771.45,64993.86,238.66
2024-10-28 09:03:00,64993.86,65251.56,64906.51,65121.79,102.51
2024-10-28 09:04:00,65121.79,65160.09,65077.05,65088.50,128.46
2024-10-28 09:05:00,65088.50,65108.37,64949.68,64978.81,182.73
2024-10-28 09:06:00,64978.81,65163.59,64929.98,65127.08,82.30
2024-10-28 09:07:00,65127.08,65274.34,64909.20,65046.26,123.14
2024-10-28 09:08:00,65046.26,65176.90,64877.45,64929.20,212.94
2024-10-28 09:09:00,64929.20,65116.52,64797.57,65021.09,156.52
2024-10-28 09:10:00,65021.09,65141.41,64915.73,65014.22,169.44
2024-10-28 09:11:00,65014.22,65190.44,64867.29,65136.62,147.10
2024-10-28 09:12:00,65136.62,65153.41,64936.50,64977.12,244.06
2024-10-28 09:13:00,64977.12,65049.47,64779.25,64793.03,143.96
2024-10-28 09:14:00,64793.03,64830.96,64471.44,64597.25,240.94
2024-10-28 09:15:00,64597.25,64906.83,64464.96,64774.83,225.60
2024-10-28 09:16:00,64774.83,64927.79,64733.06,64794.40,140.18
2024-10-28 09:17:00,64794.40,64831.14,64711.36,64746.47,162.67
2024-10-28 09:18:00,64746.47,64888.86,64708.11,64775.22,229.94
2024-10-28 09:19:00,64775.22,64905.01,64597.12,64730.78,239.56
2024-10-28 09:20:00,64730.78,64931.59,64639.86,64843.38,231.66
2024-10-28 09:21:00,64843.38,64973.55,64749.35,64869.88,80.34
2024-10-28 09:22:00,64869.88,65014.10,64755.77,64765.27,96.43
2024-10-28 09:23:00,64765.27,64805.48,64565.59,64674.97,134.42
2024-10-28 09:24:00,64674.97,64761.64,64602.73,64631.35,221.56
2024-10-28 09:25:00,64631.35,64837.81,64596.61,64828.74,182.02
2024-10-28 09:26:00,64828.74,64922.90,64661.83,64664.19,81.80
2024-10-28 09:27:00,64664.19,64756.66,64523.07,64660.82,93.76
2024-10-28 09:28:00,64660.82,64771.93,64534.03,64547.21,175.30
2024-10-28 09:29:00,64547.21,64760.37,64529.92,64629.82,177.64
2024-10-28 09:30:00,64629.82,64732.92,64509.14,64690.39,115.81
2024-10-28 09:31:00,64690.39,64838.57,64662.96,64663.01,132.66
2024-10-28 09:32:00,64663.01,64931.29,64623.94,64822.54,120.43
2024-10-28 09:33:00,64822.54,64948.35,64685.57,64829.54,81.30
2024-10-28 09:34:00,64829.54,64905.92,64753.67,64783.31,137.69
2024-10-28 09:35:00,64783.31,64928.43,64768.62,64778.49,140.40
